-36.958, -46.098, 67.865
-36.59, -48.064, 64.013
-36.259, -50.036, 59.914
-35.991, -52.018, 55.513
-35.812, -54.009, 50.733
-35.744, -56.008, 45.452
-35.816, -58.006, 39.472
-36.075, -59.988, 32.41
-36.848, -61.817, 23.365
-38.322, -63.132, 31.063
-40.231, -63.679, 60.086
-42.226, -63.649, 73.392
-44.186, -63.261, 81.734
-46.088, -62.646, 78.567
-47.932, -61.874, 75.265
-49.722, -60.981, 71.812
-51.455, -59.984, 68.184
-53.136, -58.901, 64.351
-54.762, -57.737, 60.276
-56.329, -56.495, 55.904
-57.826, -55.169, 51.16
-59.237, -53.752, 45.929
-60.527, -52.225, 40.021
-61.63, -50.559, 33.079
-62.361, -48.706, 24.255
-62.631, -46.726, 95.963
-62.874, -44.74, 93.279
-63.059, -42.749, 90.515
-63.142, -40.751, 87.664
-63.08, -38.753, 84.718
-62.831, -36.769, 81.666
-62.357, -34.828, 78.735
-61.632, -32.966, 77.126
-60.652, -31.225, 77.536
-59.426, -29.647, 78.965
-58.004, -28.243, 81.084
-56.42, -27.024, 83.655
-54.718, -25.974, 80.562
-52.933, -25.074, 77.346
-51.083, -24.313, 73.99
-49.33, -23.381, 70.499
-47.769, -22.133, 66.802
-46.386, -20.692, 62.889
-45.233, -19.059, 58.715
-44.297, -17.293, 54.219
-43.477, -15.469, 49.313
-42.659, -13.644, 43.86
-41.768, -11.854, 37.627
-40.771, -10.12, 30.131
-39.667, -8.453, 20
-38.973, -7.506, 0
-38.973, -7.506, 0
-27.155, 8.629, 0
endData
127
100
200
-38.539, 4.005, -30.72, 25.941, -68.077, 15.299, -43.968, 42.882
-43.968, 42.882, -37.235, 76.764, 42.8, 74.158, 43.126, 50.484
43.126, 50.484, 43.451, 26.81, 33.135, -4.791, 32.7, -9.678
32.7, -9.678, 32.266, -14.565, 41.171, -24.882, 46.601, -30.963
46.601, -30.963, 32.7, -35.524, 37.913, -57.678, 32.049, -62.673
32.049, -62.673, 26.185, -67.668, 21.081, -57.678, 11.633, -56.809
11.633, -56.809, 2.185, -55.94, 13.696, -48.773, 13.588, -35.524
13.588, -35.524, 13.479, -22.275, 2.076, -37.153, -12.041, -36.176
-12.041, -36.176, -26.159, -35.198, -18.774, -35.633, -32.892, -34.655
-32.892, -34.655, -42.882, -35.307, -34.412, -46.927, -35.932, -59.198
-35.932, -59.198, -37.453, -71.469, -61.561, -55.723, -62.43, -48.338
-62.43, -48.338, -63.299, -40.954, -65.905, -29.443, -50.267, -24.013
-50.267, -24.013, -43.1, -19.452, -44.837, -15.216, -38.973, -7.506
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":11.811023622047244,"robotHeight":11.811023622047244,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":2,"controlMagnetDistance":0.7750015500031,"fieldImage":{"displayName":"V5RC 2025 - High Stakes","signature":"V5RC 2025 - High Stakes","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"A9DgKzbLU4","x":-38.53860301907902,"y":4.005026147834857,"lock":false,"visible":true,"heading":20,"__type":"end-point"},{"uid":"NR9hFOZqhi","x":-30.71967995389166,"y":25.94144919183272,"lock":false,"visible":true,"__type":"control"},{"uid":"9cVCLidpXq","x":-68.07675682089793,"y":15.299026130883261,"lock":false,"visible":true,"__type":"control"},{"uid":"PzyB8EeD0H","x":-43.968410703236906,"y":42.88244916640533,"lock":false,"visible":true,"heading":12,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"tSyoUI70eF"},{"controls":[{"uid":"PzyB8EeD0H","x":-43.968410703236906,"y":42.88244916640533,"lock":false,"visible":true,"heading":12,"__type":"end-point"},{"uid":"pPqoeasyQZ","x":-37.235449174881126,"y":76.76444911555055,"lock":false,"visible":true,"__type":"control"},{"uid":"MXudiCdFwl","x":42.799916089606135,"y":74.15814142715476,"lock":false,"visible":true,"__type":"control"},{"uid":"4bO5ucvVIF","x":43.125704550655605,"y":50.48417992422637,"lock":false,"visible":true,"heading":180,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"HTj8qkzKzD"},{"controls":[{"uid":"4bO5ucvVIF","x":43.125704550655605,"y":50.48417992422637,"lock":false,"visible":true,"heading":180,"__type":"end-point"},{"uid":"0hiV1ehvYZ","x":43.451493011705075,"y":26.810218421297975,"lock":false,"visible":true,"__type":"control"},{"uid":"uDODIWsNpt","x":33.1348584118051,"y":-4.791262300500923,"lock":false,"visible":true,"__type":"control"},{"uid":"e7B0vA6Smv","x":32.70047379707246,"y":-9.678089216243018,"lock":false,"visible":true,"heading":165,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"mQmC8igx3b"},{"controls":[{"uid":"e7B0vA6Smv","x":32.70047379707246,"y":-9.678089216243018,"lock":false,"visible":true,"heading":165,"__type":"end-point"},{"uid":"eDaEMqUVVC","x":32.266089182339826,"y":-14.564916131985113,"lock":false,"visible":true,"__type":"control"},{"uid":"vUcH9SaLYP","x":41.170973784358765,"y":-24.881550731885103,"lock":false,"visible":true,"__type":"control"},{"uid":"LPKzcG08Kl","x":46.60078146851665,"y":-30.962935338141936,"lock":false,"visible":true,"heading":240,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"CScBhYzRQQ"},{"controls":[{"uid":"LPKzcG08Kl","x":46.60078146851665,"y":-30.962935338141936,"lock":false,"visible":true,"heading":240,"__type":"end-point"},{"uid":"fesqlFaXt6","x":32.70047379707246,"y":-35.52397379283456,"lock":false,"visible":true,"__type":"control"},{"uid":"tPoCF8nyBB","x":37.913089173864044,"y":-57.67758914419874,"lock":false,"visible":true,"__type":"control"},{"uid":"3jFVRj4Uox","x":32.048896874973515,"y":-62.673012213624,"lock":false,"visible":true,"heading":240,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"E9eo4IzxZ7"},{"controls":[{"uid":"3jFVRj4Uox","x":32.048896874973515,"y":-62.673012213624,"lock":false,"visible":true,"heading":240,"__type":"end-point"},{"uid":"seFZQVEgDO","x":26.184704576082986,"y":-67.66843528304926,"lock":false,"visible":true,"__type":"control"},{"uid":"q65xABTmQM","x":21.080685352974584,"y":-57.67758914419874,"lock":false,"visible":true,"__type":"control"},{"uid":"uxtv6U2S8F","x":11.632819982539857,"y":-56.808819914733476,"lock":false,"visible":true,"heading":295,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"uMuq4GwnHG"},{"controls":[{"uid":"uxtv6U2S8F","x":11.632819982539857,"y":-56.808819914733476,"lock":false,"visible":true,"heading":295,"__type":"end-point"},{"uid":"vlhKgQxHuM","x":2.1849546121051304,"y":-55.94005068526821,"lock":false,"visible":true,"__type":"control"},{"uid":"JjtbKI9TNL","x":13.696146902519853,"y":-48.77270454217981,"lock":false,"visible":true,"__type":"control"},{"uid":"D0MbRnVPiz","x":13.587550748836696,"y":-35.52397379283456,"lock":false,"visible":true,"heading":350,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"oDFBcfRUpr"},{"controls":[{"uid":"D0MbRnVPiz","x":13.587550748836696,"y":-35.52397379283456,"lock":false,"visible":true,"heading":350,"__type":"end-point"},{"uid":"l8GeMpHjVp","x":13.478954595153539,"y":-22.27524304348931,"lock":false,"visible":true,"__type":"control"},{"uid":"3YaPJfBVzD","x":2.076358458421976,"y":-37.15291609808193,"lock":false,"visible":true,"__type":"control"},{"uid":"U7teCXWPO9","x":-12.04114152038853,"y":-36.17555071493351,"lock":false,"visible":true,"heading":270,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"ZoLoBdtodu"},{"controls":[{"uid":"U7teCXWPO9","x":-12.04114152038853,"y":-36.17555071493351,"lock":false,"visible":true,"heading":270,"__type":"end-point"},{"uid":"RHgrsDcJOU","x":-26.158641499199035,"y":-35.19818533178508,"lock":false,"visible":true,"__type":"control"},{"uid":"SCQx3JOOho","x":-18.77410304874431,"y":-35.63256994651771,"lock":false,"visible":true,"__type":"control"},{"uid":"SgEbd5OpYb","x":-32.891603027554815,"y":-34.655204563369296,"lock":false,"visible":true,"heading":260,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"UH1O1cG1lv"},{"controls":[{"uid":"SgEbd5OpYb","x":-32.891603027554815,"y":-34.655204563369296,"lock":false,"visible":true,"heading":260,"__type":"end-point"},{"uid":"EVwtTeItn7","x":-42.88244916640533,"y":-35.30678148546824,"lock":false,"visible":true,"__type":"control"},{"uid":"St8vGEia2k","x":-34.41194917911902,"y":-46.92656992956612,"lock":false,"visible":true,"__type":"control"},{"uid":"DcdVIA4QCV","x":-35.93229533068323,"y":-59.197935295762946,"lock":false,"visible":true,"heading":200,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"fdsgmEl2Wp"},{"controls":[{"uid":"DcdVIA4QCV","x":-35.93229533068323,"y":-59.197935295762946,"lock":false,"visible":true,"heading":200,"__type":"end-point"},{"uid":"UhU5ppITJL","x":-37.452641482247444,"y":-71.46930066195978,"lock":false,"visible":true,"__type":"control"},{"uid":"TQa5jECV4w","x":-61.56098759990846,"y":-55.7228583779019,"lock":false,"visible":true,"__type":"control"},{"uid":"llBlf2jsaN","x":-62.42975682937372,"y":-48.33831992744717,"lock":false,"visible":true,"heading":356,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"etYcysoDMB"},{"controls":[{"uid":"llBlf2jsaN","x":-62.42975682937372,"y":-48.33831992744717,"lock":false,"visible":true,"heading":356,"__type":"end-point"},{"uid":"4qayQegc4a","x":-63.29852605883899,"y":-40.95378147699245,"lock":false,"visible":true,"__type":"control"},{"uid":"n6TldOA9cT","x":-65.90483374723476,"y":-29.442589186577724,"lock":false,"visible":true,"__type":"control"},{"uid":"xh18yuIlpo","x":-50.26698761686006,"y":-24.01278150241984,"lock":false,"visible":true,"heading":50,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"7M4zK5mISX"},{"controls":[{"uid":"xh18yuIlpo","x":-50.26698761686006,"y":-24.01278150241984,"lock":false,"visible":true,"heading":50,"__type":"end-point"},{"uid":"BdxrgYwKuf","x":-43.09964147377164,"y":-19.451743047727216,"lock":false,"visible":true,"__type":"control"},{"uid":"6xc99zzmtM","x":-44.83717993270216,"y":-15.216493054084063,"lock":false,"visible":true,"__type":"control"},{"uid":"ASw2QRKlol","x":-38.97298763381165,"y":-7.506166142579864,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"UcnFChk5yW"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"fmiPKG3dAK","lock":false,"visible":true}]}
